Hawaii -- Ground Commercial,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11

1,$5.62 ,$5.66 ,$5.71 ,$5.77 ,$5.83 ,$5.88 ,$5.93 ,$9.24 ,$16.73 ,$9.52 
2,$6.06 ,$6.11 ,$6.17 ,$6.22 ,$6.28 ,$6.33 ,$6.39 ,$10.70 ,$19.37 ,$10.98 
3,$7.01 ,$7.13 ,$7.30 ,$7.35 ,$7.42 ,$7.46 ,$7.57 ,$12.26 ,$22.19 ,$12.45 
4,$7.81 ,$8.14 ,$8.38 ,$8.50 ,$8.54 ,$8.60 ,$8.78 ,$13.72 ,$24.12 ,$13.90 
5,$9.00 ,$9.22 ,$9.45 ,$9.68 ,$9.73 ,$9.78 ,$9.96 ,$15.37 ,$25.71 ,$15.55 
6,$10.03 ,$10.31 ,$10.55 ,$10.76 ,$10.87 ,$10.98 ,$11.16 ,$17.05 ,$27.38 ,$17.22 
7,$11.16 ,$11.49 ,$11.67 ,$11.89 ,$12.06 ,$12.17 ,$12.40 ,$18.78 ,$28.97 ,$18.95 
8,$12.34 ,$12.68 ,$12.80 ,$13.07 ,$13.23 ,$13.41 ,$13.64 ,$20.32 ,$30.74 ,$20.60 
9,$13.53 ,$13.81 ,$13.97 ,$14.25 ,$14.43 ,$14.65 ,$14.87 ,$22.06 ,$32.32 ,$22.33 
10,$14.65 ,$14.93 ,$15.11 ,$15.43 ,$15.66 ,$15.84 ,$16.12 ,$23.70 ,$34.09 ,$24.06 
11,$15.72 ,$15.99 ,$16.23 ,$16.57 ,$16.85 ,$16.96 ,$17.31 ,$25.34 ,$35.68 ,$25.71 
12,$16.79 ,$17.02 ,$17.36 ,$17.64 ,$17.97 ,$18.04 ,$18.49 ,$26.88 ,$37.18 ,$27.25 
13,$17.81 ,$17.97 ,$18.49 ,$18.77 ,$19.05 ,$19.11 ,$19.61 ,$28.44 ,$38.50 ,$28.61 
14,$18.77 ,$18.93 ,$19.61 ,$19.89 ,$20.11 ,$20.17 ,$20.74 ,$29.71 ,$39.74 ,$29.89 
15,$19.71 ,$19.89 ,$20.74 ,$20.97 ,$21.24 ,$21.31 ,$21.86 ,$30.90 ,$40.98 ,$31.17 
16,$20.49 ,$20.77 ,$21.66 ,$21.89 ,$22.28 ,$22.34 ,$22.88 ,$31.60 ,$41.85 ,$32.14 
17,$21.37 ,$21.77 ,$22.68 ,$22.95 ,$23.50 ,$23.56 ,$24.07 ,$32.50 ,$42.98 ,$33.22 
18,$22.34 ,$22.78 ,$23.61 ,$24.00 ,$24.74 ,$24.85 ,$25.24 ,$33.68 ,$43.95 ,$34.31 
19,$23.28 ,$23.79 ,$24.52 ,$25.07 ,$25.92 ,$26.20 ,$26.41 ,$34.94 ,$44.91 ,$35.21 
20,$24.18 ,$24.80 ,$25.40 ,$26.13 ,$27.03 ,$27.48 ,$27.58 ,$36.03 ,$45.88 ,$36.12 
21,$25.02 ,$25.79 ,$26.36 ,$27.20 ,$28.15 ,$28.71 ,$28.76 ,$37.02 ,$46.84 ,$37.12 
22,$25.79 ,$26.75 ,$27.31 ,$28.20 ,$29.27 ,$29.88 ,$29.95 ,$37.93 ,$47.90 ,$38.20 
23,$26.59 ,$27.64 ,$28.26 ,$29.22 ,$30.39 ,$31.00 ,$31.12 ,$38.83 ,$48.95 ,$39.20 
24,$27.38 ,$28.49 ,$29.16 ,$30.17 ,$31.51 ,$32.06 ,$32.29 ,$39.56 ,$50.00 ,$40.28 
25,$28.20 ,$29.27 ,$30.06 ,$31.07 ,$32.57 ,$33.08 ,$33.42 ,$40.55 ,$51.14 ,$41.46 
26,$29.04 ,$30.06 ,$30.89 ,$31.96 ,$33.64 ,$34.08 ,$34.54 ,$41.56 ,$52.28 ,$42.55 
27,$29.88 ,$30.83 ,$31.68 ,$32.85 ,$34.69 ,$35.10 ,$35.60 ,$42.46 ,$53.43 ,$43.81 
28,$30.78 ,$31.63 ,$32.52 ,$33.74 ,$35.76 ,$36.10 ,$36.67 ,$43.45 ,$54.65 ,$44.99 
29,$31.63 ,$32.41 ,$33.36 ,$34.64 ,$36.77 ,$37.10 ,$37.72 ,$44.54 ,$55.96 ,$46.35 
30,$32.52 ,$33.24 ,$34.20 ,$35.53 ,$37.79 ,$38.12 ,$38.72 ,$45.45 ,$57.19 ,$47.53 
31,$33.36 ,$34.14 ,$35.03 ,$36.43 ,$38.78 ,$39.12 ,$39.73 ,$46.44 ,$58.43 ,$48.71 
32,$34.14 ,$35.03 ,$35.87 ,$37.28 ,$39.73 ,$40.08 ,$40.70 ,$47.43 ,$59.65 ,$49.97 
33,$34.92 ,$35.87 ,$36.72 ,$38.06 ,$40.64 ,$40.97 ,$41.58 ,$48.61 ,$60.88 ,$51.15 
34,$35.66 ,$36.67 ,$37.55 ,$38.78 ,$41.47 ,$41.81 ,$42.42 ,$49.70 ,$62.10 ,$52.41 
35,$36.33 ,$37.39 ,$38.40 ,$39.58 ,$42.26 ,$42.59 ,$43.26 ,$50.60 ,$63.25 ,$53.59 
36,$36.94 ,$38.06 ,$39.19 ,$40.30 ,$42.98 ,$43.43 ,$44.10 ,$51.61 ,$64.39 ,$54.77 
37,$37.55 ,$38.67 ,$40.02 ,$41.03 ,$43.66 ,$44.28 ,$44.88 ,$52.87 ,$65.53 ,$56.03 
38,$38.22 ,$39.29 ,$40.80 ,$41.76 ,$44.28 ,$45.12 ,$45.60 ,$54.05 ,$66.66 ,$57.21 
39,$38.84 ,$39.96 ,$41.58 ,$42.49 ,$44.88 ,$45.94 ,$46.34 ,$55.22 ,$67.80 ,$58.38 
